x,y,z
-1.472434021,-0.081402856,9.581595044
-1.675941162,-0.076614453,9.622296472
-1.515529651,-0.062249243,9.624690674
-1.479616626,-0.088585461,9.639055884
-1.505952844,-0.035913025,9.615113867
-1.486799231,-0.035913025,9.619902271
-1.458068811,-0.074220251,9.643844287
-1.508347046,-0.04309563,9.586383447
-1.455674609,-0.059855042,9.543287817
-1.527500659,-0.076614453,9.531316809
-1.508347046,-0.067037646,9.610325464
-1.65918175,-0.055066638,9.612719666
-1.489193433,-0.055066638,9.617508069
-1.482010828,-0.069431848,9.591171851
-1.513135449,-0.011971008,9.591171851
-1.505952844,-0.05746084,9.617508069
-1.462857214,-0.095768066,9.605537061
-1.515529651,-0.067037646,9.770736975
-1.534683264,-0.052672437,9.564835632
-1.482010828,-0.107739075,9.572018237
-1.489193433,-0.040701428,9.586383447
-1.520318054,-0.040701428,9.550470422
-1.510741248,-0.064643445,9.624690674
-1.525106458,-0.076614453,9.631873279
-1.484405029,-0.076614453,9.658209497
-1.486799231,-0.038307227,9.655815295
-1.505952844,-0.055066638,9.660603699
-1.486799231,-0.059855042,9.603142859
-1.496376038,-0.05746084,9.591171851
-1.510741248,-0.076614453,9.521740002
-1.496376038,-0.074220251,9.674968909
-1.470039819,-0.095768066,9.583989246
-1.498770239,-0.069431848,9.622296472
-1.508347046,-0.076614453,9.576806641
-1.496376038,-0.055066638,9.615113867
-1.505952844,-0.069431848,9.581595044
-1.436520996,-0.045489832,9.605537061
-1.505952844,-0.047884033,9.593566052
-1.515529651,-0.07182605,9.629479077
-1.472434021,-0.047884033,9.610325464
-1.493981836,-0.033518823,9.607931262
-1.479616626,-0.102950671,9.583989246
-1.484405029,-0.05746084,9.595960254
-1.493981836,-0.05746084,9.605537061
-1.453280408,-0.083797058,9.598354456
-1.470039819,-0.047884033,9.576806641
-1.501164441,-0.05746084,9.629479077
-1.443703601,-0.079008655,9.797073193
-1.477222424,-0.076614453,9.651026892
-1.484405029,-0.050278235,9.615113867
-1.484405029,-0.045489832,9.572018237
-1.458068811,-0.07182605,9.622296472
-1.489193433,-0.026336218,9.64863269
-1.486799231,-0.021547815,9.679757312
-1.472434021,-0.069431848,9.660603699
-1.482010828,-0.064643445,9.63426748
-1.465251416,-0.045489832,9.579200842
-1.484405029,-0.08619126,9.595960254
-1.448492004,-0.040701428,9.610325464
-1.467645618,-0.064643445,9.636661682
-1.508347046,-0.090979663,9.64863269
-1.472434021,-0.035913025,9.548076221
-1.503558643,-0.088585461,9.605537061
-1.472434021,-0.08619126,9.612719666
-1.477222424,-0.079008655,9.605537061
-1.491587634,-0.055066638,9.583989246
-1.489193433,-0.05746084,9.627084875
-1.489193433,-0.055066638,9.651026892
-1.491587634,-0.045489832,9.612719666
-1.503558643,-0.05746084,9.622296472
-1.491587634,-0.074220251,9.665392102
-1.503558643,-0.081402856,9.619902271
-1.484405029,-0.052672437,9.581595044
-1.513135449,-0.05746084,9.576806641
-1.484405029,-0.033518823,9.631873279
-1.503558643,-0.067037646,9.567229834
-1.489193433,-0.076614453,9.615113867
-1.484405029,-0.059855042,9.670180505
-1.446097803,-0.10055647,9.631873279
-1.460463013,-0.055066638,9.591171851
-1.465251416,-0.064643445,9.646238489
-1.477222424,-0.04309563,9.658209497
-1.513135449,-0.033518823,9.607931262
-1.470039819,-0.079008655,9.512163196
-1.467645618,-0.069431848,9.514557397
-1.508347046,-0.04309563,9.507374792
-1.491587634,-0.090979663,9.581595044
-1.450886206,-0.047884033,9.619902271
-1.448492004,-0.098162268,9.574412439
-1.501164441,-0.090979663,9.605537061
-1.455674609,-0.047884033,9.674968909
-1.470039819,-0.079008655,9.569624036
-1.496376038,-0.040701428,9.567229834
-1.493981836,-0.033518823,9.801861597
-1.474828223,-0.040701428,9.598354456
-1.470039819,-0.045489832,9.588777649
-1.489193433,-0.076614453,9.619902271
-1.474828223,-0.050278235,9.607931262
-1.501164441,-0.069431848,9.583989246
-1.501164441,-0.05746084,9.619902271
-1.510741248,-0.031124622,9.765948572
-1.491587634,-0.055066638,9.622296472
-1.477222424,-0.067037646,9.583989246
-1.489193433,-0.04309563,9.751583362
-1.486799231,-0.052672437,9.631873279
-1.477222424,-0.088585461,9.643844287
-1.482010828,-0.093373865,9.600748657
-1.482010828,-0.07182605,9.605537061
-1.465251416,-0.033518823,9.612719666
-1.498770239,-0.059855042,9.591171851
-1.460463013,-0.062249243,9.629479077
-1.484405029,-0.05746084,9.63426748
-1.462857214,-0.069431848,9.579200842
-1.501164441,-0.095768066,9.607931262
-1.470039819,-0.074220251,9.603142859
-1.470039819,-0.062249243,9.526528406
-1.525106458,-0.105344873,9.615113867
-1.510741248,-0.01436521,9.804255798
-1.513135449,-0.079008655,9.562441431
-1.498770239,-0.067037646,9.586383447
-1.474828223,-0.055066638,9.629479077
-1.479616626,-0.040701428,9.67736311
-1.513135449,-0.076614453,9.586383447
-1.498770239,-0.064643445,9.586383447
-1.656787549,-0.04309563,9.624690674
-1.431732593,-0.055066638,9.586383447
-1.505952844,-0.074220251,9.574412439
-1.486799231,-0.076614453,9.504980591
-1.493981836,-0.081402856,9.799467395
-1.477222424,-0.098162268,9.612719666
-1.498770239,-0.064643445,9.583989246
-1.470039819,-0.052672437,9.629479077
-1.508347046,-0.081402856,9.617508069
-1.491587634,-0.062249243,9.787496387
-1.467645618,-0.08619126,9.591171851
