x,y,z
-0.033371,0.18503,-0.017152
-0.048618,0.245627,-0.017152
-0.018125,0.260777,-0.001829
-0.033371,0.230478,-0.017152
-0.063864,0.275926,-0.001829
-0.07911,0.260777,-0.001829
-0.063864,0.260777,-0.001829
-0.033371,0.260777,-0.001829
-0.063864,0.245627,-0.017152
-0.063864,0.230478,-0.017152
-0.048618,0.230478,0.013493
-0.033371,0.230478,0.013493
-0.033371,0.215329,0.013493
-0.033371,0.230478,0.013493
-0.063864,0.230478,-0.017152
-0.109603,0.230478,-0.017152
-0.094357,0.245627,-0.032475
-0.063864,0.230478,-0.017152
-0.048618,0.230478,0.028816
-0.048618,0.230478,-0.001829
-0.033371,0.245627,-0.001829
-0.048618,0.230478,0.044139
-0.063864,0.245627,0.028816
-0.048618,0.215329,0.013493
-0.048618,0.230478,0.013493
-0.048618,0.230478,-0.001829
-0.018125,0.245627,-0.001829
-0.018125,0.230478,-0.001829
-0.033371,0.200179,-0.017152
-0.063864,0.230478,0.028816
-0.063864,0.200179,-0.017152
-0.033371,0.200179,-0.001829
-0.063864,0.230478,-0.001829
-0.048618,0.230478,-0.001829
-0.048618,0.230478,0.013493
-0.048618,0.200179,-0.001829
-0.048618,0.200179,-0.017152
-0.063864,0.230478,-0.017152
-0.018125,0.245627,-0.001829
-0.033371,0.230478,-0.001829
-0.018125,0.230478,-0.001829
-0.033371,0.245627,0.013493
-0.018125,0.230478,-0.001829
-0.018125,0.215329,0.013493
-0.033371,0.215329,0.013493
-0.018125,0.215329,-0.001829
-0.033371,0.200179,-0.017152
-0.002878,0.215329,-0.017152
0.027615,0.200179,-0.001829
0.012368,0.245627,0.013493
-0.018125,0.18503,-0.001829
-0.048618,0.200179,0.013493
-0.033371,0.169881,-0.001829
0.012368,0.215329,0.013493
-0.033371,0.215329,0.028816
-0.048618,0.200179,0.044139
-0.07911,0.230478,0.013493
-0.063864,0.230478,0.013493
-0.033371,0.230478,0.028816
-0.002878,0.215329,0.044139
-0.033371,0.200179,0.044139
-0.018125,0.200179,-0.001829
